PT_ID;VAR1;VAR2;VAR3
40837507;0.324;0;0.324
40845492;0.181;0;0.181
40852338;0.333;0;0.333
40852340;0.333;0;0.333
40853334;0.229;0;0.229
40853335;0.274;0;0.274
40853336;0.233;0;0.233
40853338;0.284;0;0.284
40853359;0.333;0;0.333
40853360;0.276;0;0.276
40853361;0.153;0;0.153
40854331;0.333;0;0.333
40854332;0.236;0;0.236
40854333;0.22;0;0.22
40854372;0.247;0;0.247
40854374;0.303;0;0.303
40855325;0.229;0;0.229
40855326;0.195;0;0.195
40855330;0.206;0;0.206
40855331;0.333;0;0.333
40855364;0.333;0;0.333
40855369;0.332;0;0.332
40855373;0.133;0;0.133
40855375;0.233;0;0.233
40855376;0.247;0;0.247
40855524;0.333;0;0.333
40856328;0.172;0;0.172
40856365;0.333;0;0.333
40856369;0.155;0;0.155
40856523;0.181;0;0.181
40857319;0.333;0;0.333
40857386;0.333;0;0.333
40857522;0.596;0;0.596
40858317;0.333;0;0.333
40858318;0.333;0;0.333
40858319;0.333;0;0.333
40858322;0.249;0;0.249
40858323;0.302;0;0.302
40858384;0.333;0;0.333
40858520;0.314;0;0.314
40859318;0.175;0;0.175
40859319;0.142;0;0.142
40859502;0.333;0;0.333
40860312;0.304;0;0.304
40860313;0.304;0;0.304
40860388;0.267;0;0.267
40860502;0.228;0;0.228
40861308;0.317;0;0.317
40861311;0.333;0;0.333
40862306;0.327;0;0.327
40863391;0.333;0;0.333
40863393;0.333;0;0.333
40865395;0.167;0;0.167
40865493;0.333;0;0.333
40866302;0.333;0;0.333
40866444;0.248;0;0.248
40867301;0.333;0;0.333
40868301;0.333;0;0.333
40869300;0.333;0;0.333
40870396;0.333;0;0.333
40873297;0.309;0;0.309
40877475;0.333;0;0.333
40878473;0.181;0;0.181
40884296;0.333;0;0.333
40885296;0.113;0;0.113
40885429;0.316;0;0.316
40886295;0.305;0;0.305
40889295;0.25;0;0.25
40889453;0.301;0;0.301
40890295;0.218;0;0.218
40891295;0.197;0;0.197
40891296;0.204;0;0.204
40891429;0.164;0;0.164
40891430;0.297;0;0.297
40892295;0.258;0;0.258
40892427;0.22;0;0.22
40892428;0.286;0;0.286
40892429;0.333;0;0.333
40892474;0.333;0;0.333
40893295;0.333;0;0.333
40893421;0.268;0;0.268
40893426;0.234;0;0.234
40893427;0.231;0;0.231
40893428;0.333;0;0.333
40894422;0.333;0;0.333
40895294;0.291;0;0.291
